Serial,Site_tag
FGL2025X6WS,lab-tag
FGL2115B015,lab-tag
FGL2115B025,lab-tag
FGL2114B19M,lab-tag
FGL2114B191,lab-tag
FGL2114B19N,lab-tag
FGL2115B017,lab-tag
FGL2114B190,lab-tag
FGL2115B008,lab-tag
FGL2115B00H,lab-tag
FGL2114B19G,lab-tag
FGL2115B00G,lab-tag
FGL2115B006,lab-tag
FGL2115B01L,lab-tag
FGL2115B01K,lab-tag
FGL2114B182,lab-tag
FGL2114B18V,lab-tag
FGL2114B198,lab-tag
FGL2114B18X,lab-tag
FCW2122J94U,lab-tag
FCW2225NL5P,lab-tag
FCW2225NLC3,lab-tag
FGL2025X6M0,lab-tag
FGL2025X6LN,lab-tag
FGL2025X6LP,lab-tag
